Nombre;Día de Mercadillo;Tipo;Ubicación;Horario;Puestos;Descripción;Comunidad;Provincia
Mercadillo de Arroyo de San Serván;Lunes;Generalista;Entre campo de deportes y piscina;;;;Extremadura;BADAJOZ
Mercadillo de Azuaga;Viernes;Generalista;Azuaga;;;;Extremadura;BADAJOZ
Mercadillo de Badajoz;Martes;Generalista;Calle Emigrante Pacense, 06011 Badajoz ;De 9:00 a 14:00 ;200;;Extremadura;BADAJOZ
Mercadillo de Berlanga;Jueves;Generalista;Plaza del mercado de abastos;;;;Extremadura;BADAJOZ
Mercadillo de Bienvenida;Miércoles;Generalista;Calle Altozano;;;;Extremadura;BADAJOZ
Mercadillo de Burguillos del Cerro;Martes;Generalista;Plaza de Abastos;;;;Extremadura;BADAJOZ
Mercadillo de Burguillos del Cerro;Sábado ;Generalista;Plaza de Abastos;;;;Extremadura;BADAJOZ
Mercadillo de Cabeza del Buey;Jueves;Generalista;Plaza de San Vicente;;;;Extremadura;BADAJOZ
Mercadillo de Cabeza la Vaca;Viernes;Generalista;Carretera de Calera de León;;;;Extremadura;BADAJOZ
Mercadillo de Calañas;Martes  ;Generalista;La Zarza;;;;Extremadura;BADAJOZ
Mercadillo de Calañas;Viernes;Generalista;La Zarza;;;;Extremadura;BADAJOZ
Mercadillo de Campanario;Martes;Generalista;Camino de la Laguna;;;;Extremadura;BADAJOZ
Mercadillo de Campillo de Llerena;Jueves;Generalista;Plaza de Abastos;;;;Extremadura;BADAJOZ
Mercadillo de Casas de Don Pedro;Jueves;Generalista;Plaza Sagrado Corazón de Jesús;;;;Extremadura;BADAJOZ
Mercadillo de Castuera;Jueves;Generalista;Parque Félix Rodríguez de la Fuente;;;;Extremadura;BADAJOZ
Mercadillo de Don Benito;Lunes;Generalista;Avenida Alonso Martín;;155;;Extremadura;BADAJOZ
Mercadillo de el Nevero- Badajoz;Domingos;Generalista;Calle Federico Mayor Zaragoza ;De 9:00 a 14:00 ;200;;Extremadura;BADAJOZ
Mercadillo de Fregenal de la Sierra;Martes;Generalista;Calle Orihuela Grande;;;;Extremadura;BADAJOZ
Mercadillo de Fuenlabrada de los Montes;Miércoles;Generalista;Paseo de la Constitución;;;;Extremadura;BADAJOZ
Mercadillo de Fuenlabrada de los Montes;Sábado;Generalista;Calle Reyes Católicos;;;;Extremadura;BADAJOZ
Mercadillo de Fuente de Cantos;Sábado;Generalista;Plaza de Colón;;;;Extremadura;BADAJOZ
Mercadillo de Fuente del Maestre;Viernes y Sábados;Generalista;Plaza Gran Maestre;;;;Extremadura;BADAJOZ
Mercadillo de Garbayuela;Miércoles;Generalista;Garbayuela;;20;;Extremadura;BADAJOZ
Mercadillo de Guareña;Miércoles;Generalista;Guareña;;;;Extremadura;BADAJOZ
Mercadillo de Higuera la Real;Jueves;Generalista;Avenida de Portugal;;;;Extremadura;BADAJOZ
Mercadillo de Jerez de los Caballeros;Miércoles;Generalista;Plaza de Santiago;;;;Extremadura;BADAJOZ
Mercadillo de La Albuera;Jueves;Generalista;Avenida General Castaño;;;;Extremadura;BADAJOZ
Mercadillo de La Haba;Miércoles;Generalista;Avenida de Extremadura;;;;Extremadura;BADAJOZ
Mercadillo de La Nava de Santiago;Jueves;Generalista;Calle de Enmedio;;;;Extremadura;BADAJOZ
Mercadillo de La Roca de la Sierra;Viernes;Generalista;Plaza de España;;;;Extremadura;BADAJOZ
Mercadillo de Llerena;Jueves;Generalista;Calle del Arrabal de San Francisco;;;;Extremadura;BADAJOZ
Mercadillo de Lobón;Sábado;Generalista;Parque de la Constitución;;;;Extremadura;BADAJOZ
Mercadillo de Los Santos de Maimona;Sábado;Generalista;Calle Doctor Fernández Santana;;;;Extremadura;BADAJOZ
Mercadillo de Medellín;Jueves;Generalista;Zona Playa de Medellín ;;;;Extremadura;BADAJOZ
Mercadillo de Medina de las Torres;Lunes;Generalista;Calle Cristo;;;;Extremadura;BADAJOZ
Mercadillo de Mérida;Martes;Generalista;Recinto Ferial - Avenida José Fernández López;De 9:00 a 14:00 ;;;Extremadura;BADAJOZ
Mercadillo de Mirandilla;Miércoles;Generalista;Calle Reina Sofía;;;;Extremadura;BADAJOZ
Mercadillo de Mirandilla;Sábado y Miércoles;Generalista;Calle Reina Sofía;;;;Extremadura;BADAJOZ
Mercadillo de Montemolín;Martes;Generalista;Plaza de España;;;;Extremadura;BADAJOZ
Mercadillo de Montemolín;Jueves;Generalista;Plaza de la Constitución;;;;Extremadura;BADAJOZ
Mercadillo de Montemolín;Viernes;Generalista;Plaza de la Constitución ;;;;Extremadura;BADAJOZ
Mercadillo de Montijo;Jueves;Generalista;Avenida Europa; De 9:30 a 14:00 ;;;Extremadura;BADAJOZ
Mercadillo de Navalvillar de Pela;Viernes;Generalista;Plaza del Emigrante;;;;Extremadura;BADAJOZ
Mercadillo de Oliva de la Frontera;Lunes;Generalista;Recinto Ferial;;;;Extremadura;BADAJOZ
Mercadillo de Olivenza;Sábado;Generalista;Recinto Ferial - Avenida Antonio Ortiz Cordero;;76;;Extremadura;BADAJOZ
Mercadillo de Orellana la Vieja;Sábado;Generalista;Plaza de España;;;;Extremadura;BADAJOZ
Mercadillo de Puebla de la Calzada;Lunes;Generalista;Recinto Ferial;;;;Extremadura;BADAJOZ
Mercadillo de Puebla de Sancho Pérez;Domingo;Generalista;Puebla de Sancho Pérez;;;;Extremadura;BADAJOZ
Mercadillo de Quintana de la Serena;Martes;Generalista;Recinto Ferial;;;;Extremadura;BADAJOZ
Mercadillo de Ribera del Fresno;Viernes;Generalista;Calle de la Fuente;;;;Extremadura;BADAJOZ
Mercadillo de Salvaleón;Jueves y Sábado;Generalista;Plaza de Leganés;;;;Extremadura;BADAJOZ
Mercadillo de Salvaleón;Sábado y Jueves;Generalista;Plaza de Leganés;;;;Extremadura;BADAJOZ
Mercadillo de San Pedro de Mérida;Jueves;Generalista;Calle Las Peñas;;;;Extremadura;BADAJOZ
Mercadillo de San Vicente de Alcántara;Sábado;Generalista;Parque de España;;;;Extremadura;BADAJOZ
Mercadillo de Santa Amalia;Viernes;Generalista;Avenida de Valdehornillo;;;;Extremadura;BADAJOZ
Mercadillo de Santa Marta de los Barros;Viernes;Generalista;Recinto Ferial;;;;Extremadura;BADAJOZ
Mercadillo de Siruela;Sábado;Generalista;Plaza de España;;;;Extremadura;BADAJOZ
Mercadillo de Talarrubias;Martes;Generalista;Calle La Paz;;;;Extremadura;BADAJOZ
Mercadillo de Talarrubias;Viernes y Martes;Generalista;Calle La Paz;;;;Extremadura;BADAJOZ
Mercadillo de Talavera la Real;Lunes;Generalista;Paseo Virgen de Gracia;;;;Extremadura;BADAJOZ
Mercadillo de Trujillanos;Sábado;Generalista;Recinto Ferial - Plaza Felipe Trigo;;;;Extremadura;BADAJOZ
Mercadillo de Usagre;Jueves;Generalista;Calle Rodríguez de la Fuente;;;;Extremadura;BADAJOZ
Mercadillo de Valdecaballeros;Lunes;Generalista;Valdecaballeros;;;;Extremadura;BADAJOZ
Mercadillo de Valle de la Serena;Lunes;Generalista;Plaza de España;;;;Extremadura;BADAJOZ
Mercadillo de Valverde de Leganés;Miércoles;Generalista;Plaza Antonio Asensio Romero;;;;Extremadura;BADAJOZ
Mercadillo de Villafranca de los Barros;Sábado;Generalista;Villafranca de los Barros;;;;Extremadura;BADAJOZ
Mercadillo de Villanueva de la Serena;Sábado;Generalista;Recinto Ferial - Ronda de la Hispanidad;;160;;Extremadura;BADAJOZ
Mercadillo de Villanueva del Fresno;Sábado;Generalista;Calle Hernán Cortés;;;;Extremadura;BADAJOZ
Mercadillo de Zalamea de la Serena;Sábado;Generalista;Plaza de la Constitución;;;;Extremadura;BADAJOZ
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;; ;;;;
