Nombre;Dia de Mercadillo;Tipo;Ubicación;Horario;Puestos;Descripcion;Comunidad;Provincia;;;;
Mercadillo de Badajoz;Martes;;Puente Real;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Quintana de la Serena;Martes;;Recinto Ferial;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Fregenal de la Sierra;Martes;;Calle Orihuela Grande;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Calañas;Martes;;La Zarza;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Montemolín;Martes;;Plaza de España;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Campanario;Martes;;Camino de la Laguna;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Mirandilla;Miércoles;;Calle Reina Sofía;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Guareña;Miércoles;;Guareña;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Bienvenida;Miércoles;;Calle Altozano;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Valverde de Leganés;Miércoles;;Plaza Antonio Asensio Romero;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Jerez de los Caballeros;Miércoles;;Plaza de Santiago;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Garbayuela;Miércoles;;Garbayuela;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Alange;Miércoles;;Calle Castillejo;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Fuenlabrada de los Montes;Miércoles;;Paseo de la Constitución;;;;Extremadura;BADAJOZ;;;;
Mercadillo de La Haba;Miércoles;;Avenida de Extremadura;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Salvaleón;Jueves;;Plaza de Leganés;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Montijo;Jueves;;Avenida Europa;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Cabeza del Buey;Jueves;;Plaza de San Vicente;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Medellín;Jueves;;Medellín;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Campillo de Llerena;Jueves;;Plaza de Abastos;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Casas de Don Pedro;Jueves;;Plaza Sagrado Corazón de Jesús;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Montemolín;Jueves;;Plaza de la Constitución;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Usagre;Jueves;;Calle Rodríguez de la Fuente;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Llerena;Jueves;;Calle del Arrabal de San Francisco;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Castuera;Jueves;;Parque Félix Rodríguez de la Fuente;;;;Extremadura;BADAJOZ;;;;
Mercadillo de La Albuera;Jueves;;Avenida General Castaño;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Higuera la Real;Jueves;;Avenida de Portugal;;;;Extremadura;BADAJOZ;;;;
Mercadillo de San Pedro de Mérida;Jueves;;Calle Las Peñas;;;;Extremadura;BADAJOZ;;;;
Mercadillo de La Nava de Santiago;Jueves;;Calle de Enmedio;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Berlanga;Jueves;;Plaza del mercado de abastos;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Talarrubias;Viernes;;Calle La Paz;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Calañas;Viernes;;La Zarza;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Santa Marta de los Barros;Viernes;;Recinto Ferial;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Cabeza la Vaca;Viernes;;Carretera de Calera de León;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Montemolín;Viernes;;Plaza de España;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Navalvillar de Pela;Viernes;;Plaza del Emigrante;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Azuaga;Viernes;;Azuaga;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Ribera del Fresno;Viernes;;Calle de la Fuente;;;;Extremadura;BADAJOZ;;;;
Mercadillo de La Roca de la Sierra;Viernes;;Plaza de España;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Almendralejo;Viernes;;Calle El Salvador;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Santa Amalia;Viernes;;Avenida de Valdehornillo;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Segura de León;Viernes;;Plaza de España;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Salvaleón;Sábado;;Plaza de Leganés;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Burguillos del Cerro;Sábado;;Plaza de Abastos;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Mirandilla;Sábado;;Calle Reina Sofía;;;;Extremadura;BADAJOZ;;;;
Mercadillo de San Vicente de Alcántara;Sábado;;Parque de España;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Fuente de Cantos;Sábado;;Plaza de Colón;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Siruela;Sábado;;Plaza de España;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Trujillanos;Sábado;;Recinto Ferial - Plaza Felipe Trigo;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Villanueva del Fresno;Sábado;;Calle Hernán Cortés;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Zalamea de la Serena;Sábado;;Plaza de la Constitución;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Villanueva de la Serena;Sábado;;Recinto Ferial - Ronda de la Hispanidad;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Los Santos de Maimona;Sábado;;Calle Doctor Fernández Santana;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Villafranca de los Barros;Sábado;;Villafranca de los Barros;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Fuenlabrada de los Montes;Sábado;;Calle Reyes Católicos;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Orellana la Vieja;Sábado;;Plaza de España;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Olivenza;Sábado;;Recinto Ferial - Avenida Antonio Ortiz Cordero;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Lobón;Sábado;;Parque de la Constitución;;;;Extremadura;BADAJOZ;;;;
Mercadillo de Puebla de Sancho Pérez;Domingo;;Puebla de Sancho Pérez;;;;Extremadura;BADAJOZ;;;;
